LEMMA	STEM	TAG
excellent	excell	AIRG
excellent	excell	NREG
desk	desk	NREG
possess	pos	NREG
possess	pos	VREG
cloud	cloud	NREG
cloud	cloud	VREG
stone	ston	NREG
cost	cost	VIRG
contact	tact	NREG
contact	tact	VREG
project	ject	NREG
project	ject	VREG
event	event	NREG
lack	lack	NREG
lack	lack	VREG
heavy	heavy	NREG
today	today	NREG
list	list	NREG
list	list	VREG
drink	drink	VIRG
reply	rep	NREG
reply	rep	VREG
reply	rep	ADV
worse	worse	AIRG
degree	degr	NREG
degree	degr	VREG
thrust	thrust	NREG
thrust	thrust	VREG
intimate	intimat	NREG
consciousness	consc	NREG
grand	grand	AREG
grand	grand	NREG
explain	plain	NREG
explain	plain	VREG
south	south	NREG
south	south	VREG
date	dat	NREG
quiet	quiet	AREG
quiet	quiet	NREG
quiet	quiet	VREG
smell	smell	NREG
smell	smell	VREG
otherwise	other	ADV
cigarette	cigarett	NREG
lower	low	AREG
lower	low	NREG
lower	low	VREG
skin	skin	NREG
skin	skin	VREG
government	governm	NREG
process	proc	NREG
process	proc	VREG
melancholy	melancholy	NREG
naturally	natur	ADV
birth	birth	NREG
birth	birth	VREG
jupien	jupien	NREG
faint	faint	AREG
faint	faint	NREG
faint	faint	VREG
painter	paint	NREG
generally	gen	ADV
star	star	NREG
star	star	VREG
depth	depth	NREG
famous	fam	AIRG
mass	mass	NREG
mass	mass	VREG
curtain	curtain	NREG
curtain	curtain	VREG
scarcely	scarc	ADV
portrait	portrait	NREG
brilliant	brill	NREG
queen	que	NREG
queen	que	VREG
passion	pas	NREG
proof	proof	NREG
proof	proof	VREG
lamp	lamp	NREG
lamp	lamp	VREG
slight	slight	AREG
slight	slight	NREG
slight	slight	VREG
month	month	NREG
laughter	laught	NREG
entertainment	entertainm	NREG
ala	ala	NREG
steeply	steep	ADV
peace	peac	NREG
ear	ear	NREG
ear	ear	VREG
suffer	suf	NREG
suffer	suf	VREG
treat	treat	NREG
treat	treat	VREG
problem	problem	NREG
bag	bag	NREG
bag	bag	VREG
cease	ceas	NREG
season	season	NREG
season	season	VREG
visible	vis	AIRG
dry	dry	AREG
dry	dry	NREG
dry	dry	VREG
receive	receiv	NREG
forcheville	forchevill	NREG
price	pric	NREG
jealous	jeal	AIRG
atmosphere	atmospher	NREG
faithful	faith	NREG
arrival	arriv	NREG
heat	heat	NREG
heat	heat	VREG
beat	beat	VIRG
distinction	tinct	NREG
pale	pal	AREG
pale	pal	NREG
anger	ang	NREG
anger	ang	VREG
bright	bright	AREG
bright	bright	NREG
vast	vast	AREG
vast	vast	NREG
apparently	apparent	ADV
dedalus	dedalus	NREG
peculiar	peculiar	NREG
absolutely	absolut	ADV
bow	bow	NREG
bow	bow	VREG
rain	rain	NREG
rain	rain	VREG
key	key	NREG
spot	spot	NREG
spot	spot	VREG
sufficient	suffic	AIRG
sufficient	suffic	NREG
check	check	NREG
check	check	VREG
restaurant	restaur	NREG
mental	ment	AIRG
mental	ment	NREG
superior	super	NREG
military	milit	NREG
bottom	bottom	NREG
bottom	bottom	VREG
heaven	heaven	NREG
german	germ	NREG
yellow	yellow	AREG
yellow	yellow	NREG
yellow	yellow	VREG
ancient	anc	AREG
ancient	anc	NREG
prove	prov	NREG
element	elem	NREG
teeth	teeth	NIRG
edge	edg	NREG
farther	farther	AIRG
professional	profession	NREG
avoid	void	NREG
avoid	void	VREG
catch	catch	VIRG
fault	fault	NREG
fault	fault	VREG
fight	fight	VIRG
favour	favour	NREG
favour	favour	VREG
motion	mot	NREG
motion	mot	VREG
cross	cross	AREG
cross	cross	NREG
cross	cross	VREG
explanation	plan	NREG
attack	attack	NREG
attack	attack	VREG
absence	abs	NREG
formerly	form	ADV
precisely	prec	ADV
dine	din	NREG
regular	gular	NREG
grey	grey	AREG
grey	grey	NREG
remote	mot	AREG
remote	mot	NREG
hill	hill	NREG
hill	hill	VREG
venice	venic	NREG
chief	chief	AREG
chief	chief	NREG
fail	fail	NREG
fail	fail	VREG
stuff	stuff	VREG
rachel	rachel	NREG
promise	mis	NREG
request	quest	NREG
request	quest	VREG
waf	waf	NREG
waf	waf	VREG
literary	liter	NREG
brown	brown	AREG
brown	brown	NREG
brown	brown	VREG
lovely	lov	NREG
lovely	lov	ADV
quarter	quart	NREG
quarter	quart	VREG
fool	fool	NREG
fool	fool	VREG
brief	brief	AREG
brief	brief	VREG
wheel	wheel	NREG
wheel	wheel	VREG
flesh	flesh	NREG
flesh	flesh	VREG
anguish	guish	NREG
anguish	guish	VREG
cruel	cruel	AREG
cruel	cruel	NREG
recognise	gnis	NREG
horse	hors	NREG
personality	personal	NREG
gesture	gest	NREG
discovery	discov	NREG
honour	honour	NREG
honour	honour	VREG
delicate	delicat	NREG
speed	spe	NREG
speed	spe	VREG
manager	manag	NREG
track	track	NREG
track	track	VREG
plant	plant	NREG
plant	plant	VREG
carry	car	NREG
carry	car	VREG
study	stud	NREG
study	stud	VREG
enable	ble	NREG
sorry	sor	NREG
novel	novel	NREG
finger	fing	NREG
finger	fing	VREG
bent	bent	NREG
political	polit	AIRG
political	polit	NREG
create	cre	NREG
delight	light	NREG
delight	light	VREG
golden	gold	AREG
advance	adv	NREG
female	femal	NREG
somewhat	somewhat	NREG
fortune	fortun	NREG
bedroom	bedroom	NREG
flower	flow	NREG
flower	flow	VREG
wake	wake	VIRG
relief	lief	NREG
lose	lose	VIRG
plain	plain	AREG
plain	plain	NREG
plain	plain	VREG
author	auth	NREG
author	auth	VREG
shop	shop	NREG
shop	shop	VREG
plan	plan	NREG
plan	plan	VREG
copy	cop	NREG
copy	cop	VREG
indifferent	ffer	AIRG
indifferent	ffer	NREG
bare	bar	AREG
bare	bar	NREG
departure	part	NREG
le	le	NREG
fancy	fan	NREG
