LEMMA	cnt
handle	51
shelter	51
radiant	51
thompson	51
miracle	51
goodness	51
pretext	51
aid	51
option	51
behold	51
bond	51
coin	51
appropriate	51
inspire	51
interview	51
neighbour	51
straw	51
fury	51
ticket	51
pattern	51
pile	51
princes	51
trip	51
san	50
patron	50
director	50
jaw	50
reappear	50
institute	50
gun	50
negative	50
enthusiasm	50
consolation	50
phedre	50
sufficiently	50
latest	50
delint	50
revolution	50
dignam	50
disgust	50
desperate	50
panel	50
overhead	50
willer	50
alternative	50
readily	50
outward	50
precise	50
subtle	50
dance	50
scale	50
axford	50
mask	50
bitter	50
commercial	50
occupation	50
centre	50
extract	50
gulf	50
futile	49
develop	49
eh	49
rivebelle	49
cake	49
keenly	49
realisation	49
gay	49
medicine	49
steadily	49
sweat	49
mattress	49
acquire	49
firm	49
parallel	49
secretary	49
bold	49
leader	49
erect	49
greet	49
emperor	49
chinese	49
alter	49
ok	49
invention	49
oriental	49
command	49
domestic	49
survive	49
deserve	49
tavis	49
cook	49
center	49
shine	49
string	49
azure	49
butler	49
quest	49
native	49
sailor	49
refrain	49
agony	49
crisis	49
ocean	48
instinctively	48
ma	48
tank	48
associate	48
religion	48
rough	48
dollar	48
cheese	48
rhythm	48
cab	48
bernard	48
threat	48
fifteen	48
fifty	48
breakfast	48
occasional	48
brush	48
tram	48
creation	48
bodily	48
decline	48
tunnel	48
remedy	48
inform	48
friday	48
gerty	48
swept	48
tear	48
hes	48
lane	48
fan	48
perfection	48
profession	48
ship	48
salute	48
establishment	48
torture	48
district	48
everyday	48
sofa	48
pillow	47
snake	47
argument	47
communication	47
recapture	47
branch	47
reward	47
vanish	47
dignity	47
provincial	47
disappear	47
grateful	47
lea	47
vaugoubert	47
sunset	47
hi	47
whistle	47
expensive	47
drag	47
prolong	47
idiot	47
opera	47
mail	47
function	47
laumes	47
temper	47
transcontinental	47
warn	47
conscience	47
disguise	47
unit	47
studio	47
potential	47
irritation	47
rupture	47
facility	47
salt	47
ghost	47
revive	47
attain	47
scorn	47
destruction	47
fate	47
rival	47
paul	47
site	47
facial	47
iran	47
museum	47
goddess	46
coachman	46
soup	46
conception	46
crew	46
thy	46
select	46
seldom	46
virgin	46
exhibition	46
slope	46
scarlet	46
eager	46
stroll	46
hamlet	46
awkward	46
ice	46
upset	46
distraction	46
gain	46
novelty	46
traffic	46
confession	46
settle	46
appetite	46
composition	46
supper	46
utmost	46
stress	46
annoyance	46
fairly	46
eventually	46
glory	46
fog	46
disturb	46
stir	46
darling	46
tip	46
proceed	46
dread	46
x	46
stronger	46
rude	46
stout	46
finest	46
freely	46
email	46
prison	46
incessant	46
alike	46
abstract	46
equivalent	46
eminent	46
formula	46
indian	46
familiarity	46
reception	46
blaze	45
vein	45
cheap	45
procure	45
permit	45
pursuit	45
undergarment	45
insult	45
permission	45
procee	45
wound	45
steeple	45
conflict	45
posture	45
worry	45
lit	45
excess	45
poison	45
casino	45
consequently	45
moustache	45
philip	45
ay	45
sovereign	45
sevigne	45
procedure	45
vanity	45
ridiculous	45
version	45
eleven	45
division	45
apparition	45
agitation	45
plump	45
chap	45
numerous	45
bus	45
planet	45
wrist	45
absorb	45
occupy	45
marie	45
al	45
steam	45
prepare	45
port	45
stall	45
yield	45
method	45
complexion	45
exceptional	45
dollard	44
knife	44
tax	44
supposition	44
exclusively	44
whore	44
discretion	44
farm	44
solitude	44
boylan	44
approval	44
originality	44
abroad	44
tire	44
inasmuch	44
hollow	44
disposal	44
comet	44
hesitate	44
whisper	44
loudly	44
mood	44
conference	44
silly	44
continuous	44
cars	44
spell	44
cabinet	44
majesty	44
denial	44
terribly	44
central	44
fame	44
combination	44
accordingly	44
lawn	44
